id_personne,cosop_gmf,code_pcs_marque,csp_gmf,date_debut
5000000525,31   ,51,75,2017-07-04
5000000555,50   ,51,95,2016-02-08
5000001435,76   ,51,75,2020-09-24
5000001975,41   ,80,75,2005-02-22
5000002635,93   ,  ,91,2015-06-17
5000003685,30   ,51,95,2012-10-02
5000003855,80   ,82,99,2020-06-16
5000003905,80   ,54,86,2007-09-17
5000004325,41   ,51,95,2019-08-22
5000004365,460  ,51,75,2021-08-17
5000004425,166  ,32,95,2022-10-28
5000004505,161  ,32,95,2018-06-13
5000005355,50   ,51,95,2016-11-21
5000005465,42   ,51,95,2010-09-08
5000005475,30   ,43,95,2015-02-17
5000006165,90   ,99,  ,0001-01-01
5000006735,211  ,51,95,2018-01-12
5000006865,50   ,99,90,1999-02-11
5000006955,62   ,99,90,1999-04-22
5000007065,97   ,  ,91,2016-01-14
5000008185,213  ,51,95,2022-06-07
5000009315,50   ,51,95,2012-05-25
5000009945,89   ,54,95,2024-04-03
5000010425,89   ,50,  ,0001-01-01
5000010545,86   ,51,95,2009-02-27
5000011025,89   ,51,95,2019-06-24
5000011755,61   ,  ,91,2014-07-04
5000011785,89   ,  ,95,2016-02-09
5000012445,55   ,51,95,2010-08-16
5000014015,93   ,  ,91,2015-12-01
5000014085,12   ,50,75,2007-05-10
5000014715,50   ,51,75,2011-02-03
5000016105,89   ,51,95,2012-02-03
5000017695,55   ,51,95,2021-02-11
5000017795,99   ,54,88,2023-01-06
5000019125,89   ,51,95,2019-08-20
5000020275,61   ,51,95,2023-09-21
5000020295,160  ,51,95,2017-09-19
5000020435,42   ,51,95,2019-05-21
5000021655,97   ,99,95,2010-08-03
5000022105,97   ,99,91,2014-04-07
5000022895,61   ,  ,95,2015-04-03
5000023045,55   ,50,75,1997-09-15
5000023075,42   ,51,95,2017-01-17
5000023745,78   ,54,95,2022-10-27
5000025845,93   ,99,90,2012-05-30
5000026375,80   ,50,87,2008-07-28
5000026685,     ,99,  ,0001-01-01
5000027935,42   ,51,95,2022-01-29
5000030955,80   ,31,91,2023-06-16
5000031305,80   ,54,86,2023-08-28
5000031355,42   ,50,75,2001-07-28
5000031545,99   ,  ,91,2016-01-10
5000033805,93   ,  ,90,2000-04-27
5000034245,78   ,54,89,2017-08-04
5000034815,80   ,36,87,2022-04-23
5000034855,80   ,54,87,2007-10-12
5000034905,80   ,99,99,2000-05-29
5000034975,36   ,51,95,2013-08-30
5000035265,     ,99,05,1997-06-27
5000035835,80   ,54,87,2009-06-24
5000035855,80   ,99,99,2007-06-15
5000036065,     ,99,75,1997-09-11
5000036095,21   ,50,75,1997-04-29
5000036515,97   ,  ,91,2010-03-22
5000036745,80   ,54,86,2011-06-17
5000036765,42   ,99,95,2009-03-02
5000037035,97   ,99,91,2019-02-12
5000037185,80   ,  ,87,2012-08-29
5000037245,89   ,51,75,2011-09-21
5000037275,     ,99,95,2008-11-20
5000037465,920  ,54,91,2024-04-24
5000037955,97   ,  ,91,2011-03-13
5000037965,     ,99,87,1997-12-22
5000038195,     ,99,75,1998-11-17
5000038295,     ,99,  ,0001-01-01
5000038505,80   ,54,87,2012-10-10
5000038765,31   ,51,95,2016-12-02
5000038795,76   ,  ,95,2022-12-14
5000038995,97   ,99,91,2012-09-27
5000039125,80   ,54,86,2016-07-19
5000039205,     ,99,87,1997-09-24
5000039465,     ,99,75,1998-03-26
5000039605,30   ,51,95,2019-07-03
5000040015,93   ,  ,91,2013-10-04
5000040025,80   ,80,99,2008-02-19
5000040035,97   ,51,91,2024-01-05
5000040375,97   ,54,91,2022-08-01
5000041815,     ,99,87,1997-11-24
5000042145,     ,99,90,1998-06-01
5000042215,42   ,51,75,2009-03-11
5000042935,97   ,54,91,2012-04-06
5000042955,     ,99,75,1999-09-14
5000043195,97   ,54,91,2020-05-11
5000043385,30   ,  ,75,2004-04-26
5000043545,80   ,54,86,2012-08-29
5000043805,80   ,54,91,2023-10-03
5000045145,42   ,51,75,2015-08-06
5000045995,42   ,51,75,2017-07-20
5000046585,97   ,36,87,2013-03-18
5000047735,55   ,51,95,2017-11-28
5000047835,55   ,32,95,2019-08-27
5000048285,97   ,54,91,2022-12-19
5000048905,50   ,51,90,2007-11-07
5000049595,50   ,32,95,2020-12-11
5000049605,12   ,  ,95,2015-10-09
5000049715,50   ,51,75,2016-05-26
5000050725,97   ,54,91,2018-03-07
5000051525,98   ,80,  ,0001-01-01
5000051815,50   ,54,95,2022-07-05
5000052705,77   ,51,75,2013-10-01
5000053315,97   ,54,91,2019-08-26
5000054695,55   ,51,95,2023-05-26
5000054735,55   ,51,95,2021-08-26
5000055855,16   ,  ,95,2015-07-01
5000057365,30   ,50,90,2005-03-04
5000059825,80   ,  ,91,2023-08-16
5000060385,30   ,51,75,2019-06-07
5000060855,97   ,36,86,2017-09-20
5000061175,16   ,99,90,1999-09-13
5000061225,10   ,51,75,2019-10-28
5000062025,42   ,51,75,2010-11-04
5000062265,55   ,32,75,2011-02-02
5000063305,93   ,54,87,2009-07-08
5000064565,42   ,  ,95,2013-03-06
5000064615,80   ,99,87,1999-10-15
5000064695,50   ,  ,95,2013-10-11
5000064775,97   ,54,91,2022-05-16
5000064875,80   ,54,88,2007-08-22
5000065125,80   ,99,  ,1996-12-05
5000065835,80   ,54,99,2013-07-29
5000065885,90   ,99,75,2006-10-17
5000065985,97   ,54,91,2024-01-23
5000066125,     ,99,  ,0001-01-01
5000066165,55   ,51,95,2009-02-23
5000066715,97   ,54,91,2022-12-01
5000066905,38   ,51,95,2019-09-03
5000067235,31   ,51,75,2004-09-09
5000068115,31   ,51,75,2024-02-13
5000068535,210  ,51,75,2024-06-27
5000068825,50   ,51,95,2023-01-30
5000069205,97   ,  ,65,2005-02-15
5000069255,     ,99,75,2000-03-12
5000070795,97   ,54,91,2020-02-14
5000073785,42   ,50,75,2003-07-25
5000073805,31   ,51,75,2017-02-16
5000075555,30   ,51,75,2022-08-01
5000078285,50   ,51,95,2013-02-18
5000079415,30   ,54,75,2012-12-10
5000080045,30   ,51,75,2006-03-06
5000080565,93   ,50,  ,0001-01-01
5000080745,80   ,80,05,2008-01-07
5000081455,51   ,99,  ,0001-01-01
5000082065,81   ,50,75,2005-07-12
5000082235,16   ,40,75,1997-07-22
5000083565,93   ,54,86,2014-03-29
5000083595,80   ,50,75,1998-03-26
5000088215,360  ,51,95,2023-04-27
5000093785,80   ,  ,87,2003-06-11
5000094095,80   ,50,87,1997-07-29
5000100055,213  ,51,75,2017-03-09
5000100545,81   ,40,75,1997-10-27
5000101965,80   ,54,87,2019-05-29
5000102665,31   ,32,75,2022-11-08
5000103805,80   ,54,88,2020-06-08
5000104245,80   ,54,86,2013-07-04
5000106975,50   ,51,75,2024-02-14
5000107985,42   ,51,75,2017-10-24
5000108995,93   ,43,91,2010-11-26
5000109095,80   ,54,86,2023-12-28
5000109225,42   ,99,75,2000-09-27
5000109755,160  ,51,87,2018-03-15
5000109845,80   ,32,87,2012-12-27
5000110105,80   ,54,87,2012-07-16
5000110495,80   ,54,87,2019-10-11
5000110615,80   ,61,86,2000-03-03
5000110685,50   ,51,95,2022-08-09
5000111015,80   ,54,86,2017-11-16
5000111355,81   ,99,  ,0001-01-01
5000111435,42   ,54,75,2018-12-14
5000111525,93   ,60,  ,2012-05-30
5000111545,42   ,45,75,2012-05-30
5000111575,76   ,50,75,2004-11-19
5000111595,50   ,51,95,2021-04-20
5000111705,30   ,51,75,2019-09-03
5000111815,167  ,51,75,2022-12-26
5000112445,50   ,40,75,1998-04-16
5000112785,62   ,36,95,2022-01-31
5000112795,160  ,51,95,2020-06-04
5000112975,87   ,51,75,2013-11-04
5000113275,55   ,  ,95,2011-03-08
5000113295,161  ,54,95,2017-05-09
5000115065,42   ,60,  ,0001-01-01
5000115695,89   ,80,75,1997-12-10
5000116215,42   ,99,95,2016-09-12
5000116375,89   ,51,95,2024-06-17
5000117275,360  ,  ,75,2020-07-22
5000117785,98   ,99,90,2004-05-17
5000117835,210  ,51,95,2020-09-14
5000118555,30   ,51,95,2019-12-13
5000119295,50   ,51,95,2018-08-08
5000119385,50   ,36,95,2023-03-09
5000119615,76   ,50,75,1997-11-07
5000119935,81   ,51,75,2012-04-30
5000120465,30   ,51,95,2024-03-19
5000121155,89   ,51,95,2019-04-15
5000121725,50   ,51,95,2013-07-22
5000121755,89   ,51,95,2015-08-28
5000122475,89   ,51,95,2018-07-03
5000123665,31   ,51,95,2009-02-20
5000123945,89   ,51,95,2022-07-20
5000124235,86   ,50,75,1999-01-28
5000124735,41   ,99,95,2008-12-08
5000125395,55   ,51,95,2018-06-01
5000125425,360  ,32,95,2019-02-14
5000125685,55   ,51,95,2022-10-10
5000126135,55   ,51,95,2021-07-20
5000126835,89   ,51,95,2015-12-01
5000127125,89   ,51,95,2022-06-30
5000127785,50   ,80,95,2009-01-13
5000128235,41   ,99,95,2010-02-06
5000128515,50   ,  ,95,2016-01-13
5000128685,41   ,51,75,2012-12-19
5000128895,41   ,80,75,1997-05-29
5000129565,89   ,51,95,2021-07-22
5000129585,42   ,51,95,2019-01-02
5000129605,50   ,51,90,2008-08-04
5000130305,50   ,99,95,2010-04-26
5000131065,55   ,51,95,2016-06-28
5000131915,42   ,51,95,2013-01-18
5000132265,97   ,60,  ,0001-01-01
5000132495,16   ,99,90,2000-10-18
5000132765,50   ,51,95,2019-02-16
5000132925,97   ,  ,90,2023-01-19
5000133235,42   ,51,95,2017-07-07
5000133635,50   ,  ,95,2019-02-18
5000134545,42   ,51,95,2009-05-19
5000135485,42   ,51,95,2012-06-12
5000136835,16   ,51,95,2010-03-18
5000137885,166  ,51,95,2022-11-08
5000138755,50   ,51,95,2019-07-25
5000139015,50   ,51,95,2011-02-10
5000139065,97   ,54,91,2013-11-06
5000139585,11   ,32,95,2024-02-20
5000142495,16   ,51,90,2007-11-13
5000144155,89   ,51,95,2008-11-04
5000146625,89   ,  ,95,2010-04-12
5000146805,55   ,51,95,2017-10-18
5000147025,62   ,  ,75,2024-08-02
5000147915,41   ,80,  ,0001-01-01
5000148145,89   ,  ,95,2013-09-03
5000148515,89   ,51,95,2009-07-18
5000149495,10   ,51,95,2022-10-21
5000149615,42   ,99,90,1999-05-20
5000150005,62   ,99,90,2003-10-23
5000151175,89   ,51,95,2014-12-26
5000151295,42   ,99,90,1997-12-03
5000152375,76   ,  ,95,2017-11-07
5000152835,89   ,99,90,1998-10-28
5000153755,89   ,80,90,2005-01-21
5000153865,55   ,51,95,2017-05-19
5000153905,89   ,99,90,1997-09-05
5000153955,89   ,51,95,2022-07-26
5000154105,89   ,  ,95,2014-02-10
5000155975,41   ,99,  ,0001-01-01
5000156165,55   ,51,75,2019-04-01
5000157105,97   ,54,91,2015-10-13
5000157115,166  ,51,95,2023-08-08
5000157895,50   ,  ,95,2021-10-28
5000159005,16   ,99,90,2003-11-10
5000159395,50   ,51,95,2022-11-14
5000159595,89   ,80,95,2011-07-22
5000160525,97   ,54,91,2016-09-07
5000162065,210  ,  ,95,2022-04-25
5000162605,97   ,99,  ,0001-01-01
5000166255,360  ,51,75,2017-06-06
5000166535,50   ,99,90,1997-05-13
5000168685,64   ,45,95,2016-02-15
5000172015,161  ,51,95,2017-10-02
5000172245,166  ,51,95,2023-04-07
5000172255,213  ,51,95,2017-11-14
5000172635,89   ,51,95,2014-09-12
5000172765,360  ,  ,95,2021-01-18
5000174955,89   ,  ,95,2017-03-22
5000176615,86   ,99,95,2011-01-26
5000176945,42   ,51,95,2012-06-18
5000177075,22   ,51,95,2013-10-29
5000178395,210  ,51,95,2022-10-05
5000179575,61   ,51,95,2018-10-11
5000180545,42   ,51,95,2023-03-15
5000182725,97   ,51,75,2009-01-12
5000182835,42   ,51,95,2022-05-10
5000184325,41   ,51,95,2015-09-03
5000186015,97   ,54,86,2018-01-19
5000186805,97   ,21,65,2011-11-30
5000186815,97   ,10,91,2024-06-04
5000189265,42   ,51,75,2021-10-14
5000189525,31   ,32,75,2019-08-24
5000189615,42   ,51,75,2012-10-29
5000189645,41   ,51,75,2009-07-21
5000189675,89   ,51,95,2013-01-16
5000190125,42   ,  ,75,2012-06-07
5000192715,460  ,51,75,2023-02-23
5000194335,93   ,82,05,2015-08-13
5000198225,30   ,51,95,2020-09-09
5000200525,97   ,54,91,2023-01-31
5000201905,166  ,51,95,2023-10-31
5000202525,55   ,51,95,2022-08-02
5000202915,31   ,  ,95,2013-04-18
5000203245,41   ,32,95,2022-09-19
5000203265,89   ,51,95,2013-10-24
5000204565,55   ,51,95,2011-12-21
5000205755,30   ,54,95,2022-08-18
5000205995,55   ,40,75,1999-03-03
5000206765,77   ,  ,95,2015-12-17
5000206795,50   ,51,95,2022-07-08
5000207775,80   ,54,86,2008-10-15
5000209515,22   ,51,95,2021-07-05
5000210155,86   ,51,95,2018-04-19
5000210195,89   ,51,95,2019-02-21
5000210365,93   ,99,  ,2012-05-30
5000210465,97   ,80,  ,2007-10-09
5000214465,93   ,50,99,2012-05-30
5000216295,     ,99,  ,0001-01-01
5000217135,12   ,32,95,2021-10-12
5000218055,76   ,  ,90,2003-09-02
5000218905,166  ,51,95,2023-10-23
5000219455,97   ,  ,91,2022-10-07
5000219515,42   ,51,95,2023-10-12
5000220735,42   ,51,75,2012-07-19
5000220775,89   ,51,95,2017-06-01
5000220975,90   ,99,99,1999-12-02
5000221655,97   ,60,75,1997-04-28
5000221905,42   ,51,95,2020-11-23
5000222245,41   ,99,90,1997-09-15
5000222385,89   ,51,95,2008-10-23
5000222505,62   ,36,95,2018-12-03
5000222645,21   ,60,90,2000-09-13
5000224155,16   ,80,  ,0001-01-01
5000227115,89   ,51,95,2022-02-21
5000227645,78   ,54,91,2023-10-20
5000228915,42   ,80,91,2010-03-30
5000230545,42   ,51,95,2019-06-20
5000230965,90   ,99,  ,0001-01-01
5000231275,89   ,51,75,2014-03-04
5000231885,360  ,51,95,2019-10-18
5000233035,86   ,50,75,1998-06-22
5000233185,42   ,51,95,2022-01-26
5000234745,89   ,51,95,2019-07-05
5000234775,360  ,32,75,2018-07-04
5000235265,97   ,99,90,1999-09-22
5000235345,89   ,51,95,2019-01-11
5000236125,360  ,32,95,2021-01-11
5000236285,97   ,32,91,2017-05-30
5000236865,31   ,80,95,2008-11-12
5000237155,97   ,54,87,2017-05-03
5000237445,76   ,51,90,2000-10-10
5000237885,41   ,54,95,2018-11-05
5000239255,10   ,32,75,2016-03-23
5000239355,77   ,51,95,2020-07-06
5000241085,21   ,51,95,2008-11-27
5000241195,76   ,51,75,2018-02-05
5000241635,50   ,51,75,2017-05-02
5000241985,77   ,51,75,2016-11-28
5000244935,41   ,  ,95,2009-11-19
5000246265,360  ,51,75,2019-01-29
5000246395,50   ,51,95,2023-01-30
5000246585,50   ,51,95,2013-07-01
5000246855,50   ,51,75,2009-12-15
5000247725,77   ,51,95,2021-05-25
5000248625,41   ,51,95,2014-06-18
5000249265,50   ,51,75,2013-08-20
5000249365,89   ,51,95,2016-12-22
5000255135,16   ,99,90,1999-09-18
5000256195,50   ,51,95,2021-07-01
5000256745,30   ,51,95,2017-03-20
5000256875,360  ,32,95,2022-05-23
5000259195,89   ,51,75,2007-07-20
5000260015,21   ,99,  ,0001-01-01
5000261235,63   ,51,95,2020-10-06
5000264345,42   ,60,75,2010-12-09
5000264365,38   ,36,88,2021-11-04
5000264525,76   ,50,  ,0001-01-01
5000264575,76   ,51,95,2018-11-22
5000269205,80   ,54,87,2024-02-10
5000269755,42   ,51,75,2023-03-24
5000270305,97   ,54,91,2023-07-03
5000273045,97   ,54,86,2011-12-08
5000278165,93   ,50,  ,0001-01-01
5000278395,97   ,80,  ,0001-01-01
5000285015,34   ,51,75,2020-07-03
5000285065,42   ,  ,95,2016-05-19
5000286605,31   ,51,95,2018-01-16
5000287025,76   ,51,75,2022-11-15
5000287185,42   ,51,75,2010-07-29
5000287245,62   ,51,95,2012-02-07
5000289565,80   ,40,75,1997-06-09
5000292925,30   ,51,75,2002-02-06
5000294045,97   ,54,95,2018-02-15
5000294235,93   ,  ,90,2012-05-30
5000294785,45   ,  ,95,2019-07-13
5000298265,210  ,51,95,2017-07-11
5000300465,42   ,  ,75,2010-06-23
5000301165,55   ,51,75,2014-09-22
5000301705,50   ,51,95,2015-09-29
5000301915,62   ,50,75,1997-10-08
5000302125,41   ,50,  ,0001-01-01
5000303945,360  ,51,75,2023-06-16
5000304565,162  ,51,75,2020-08-13
5000305025,30   ,51,75,2017-08-30
5000305525,97   ,80,  ,0001-01-01
5000308025,42   ,51,95,2024-05-13
5000308145,16   ,51,95,2012-03-16
5000310425,42   ,51,95,2024-02-16
5000311495,30   ,51,75,2024-05-16
5000315165,30   ,51,75,2022-09-06
5000316065,93   ,80,  ,0001-01-01
5000320575,62   ,51,95,2016-11-28
5000321575,31   ,51,75,2013-06-17
5000327555,30   ,51,95,2016-02-12
5000327745,93   ,50,86,2012-05-30
5000328485,93   ,  ,91,2011-05-24
5000332155,50   ,99,75,2000-11-17
5000332325,16   ,51,75,2012-08-17
5000332625,80   ,54,87,2021-04-09
5000333165,80   ,23,65,2016-03-10
5000333885,10   ,51,75,2005-04-20
5000333985,77   ,51,75,2016-05-20
5000334105,     ,99,75,1998-05-21
5000334175,93   ,99,05,2000-02-23
5000334825,31   ,51,75,2015-04-10
5000335415,     ,99,75,1997-12-11
5000335445,     ,99,75,2000-07-13
5000335455,80   ,54,87,2009-03-05
5000335475,97   ,  ,91,2019-03-06
5000335495,97   ,82,05,2023-03-01
5000335505,     ,99,75,2011-11-18
5000335515,     ,99,  ,0001-01-01
5000335905,16   ,80,75,1998-05-27
5000336005,97   ,99,  ,1997-03-07
5000336435,76   ,99,75,1998-06-15
5000336465,97   ,  ,87,2006-05-13
5000336515,42   ,51,95,2015-11-04
